Categoria,Tipu,Producte,Imatge,Alergens
Congelados,"Helados, postres y nata",helados con doble cobertura de chocolate y frambuesa sin gluten 3 unidades,00118953906650____6__600x600.jpg,"['mantequilla', 'leche', 'Leche']"
Congelados,"Helados, postres y nata",Intense Dark helado de chocolate con cobertura de chocolate negro sin gluten 70% 3 unids.,00118953906668____6__600x600.jpg,"['mantequilla', 'soja', 'Leche', 'leche']"
Congelados,"Helados, postres y nata",bombón helado almendrado 4 unidades sin gluten,00118953907021____1__600x600.jpg,"['Leche', 'láctea', 'almendras', 'soja', 'lácteo', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de chocolate blanco sin gluten 4 unidades,00118953907047____1__600x600.jpg,"['lácteo', 'leche', 'soja', 'Leche']"
Congelados,"Helados, postres y nata",bombón helado de chocolate negro sin gluten 4 unidades,00118953907039____1__600x600.jpg,"['Leche', 'láctea', 'soja', 'lácteo', 'leche']"
Congelados,"Helados, postres y nata",minibombón helado sabor a vainilla almendrado sin gluten 9 unidades,00118953907013____1__600x600.jpg,"['Leche', 'láctea', 'almendras', 'soja', 'lácteo', 'leche']"
Congelados,"Helados, postres y nata",minibombón helado surtido sin gluten 9 unidades,00118953907054____1__600x600.jpg,"['Leche', 'láctea', 'almendras', 'soja', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de cookie y crema con cobertura de chocolate 3x80 ml,00118953907161____6__600x600.jpg,"['nata', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",bombón helado de crema de cacahuete con trozos y cobertura de chocolate 3x80 ml,00118953907153____6__600x600.jpg,"['nata', 'soja', 'huevo', 'cacahuetes', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de chocolate con almendras 3x80 ml,00118953906130____3__600x600.jpg,"['mantequilla', 'nata', 'almendras', 'soja', 'huevo', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de nuez de macadamia 3x80 ml,00118953906114____3__600x600.jpg,"['mantequilla', 'nata', 'soja', 'nueces de macadamia', 'huevo', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de vainilla con caramelo y almendras 3x80 ml,00118953906122____3__600x600.jpg,"['mantequilla', 'nata', 'soja', 'huevo', 'leche']"
Congelados,"Helados, postres y nata",mini bombón helado de chocolate con almendras y vainilla caramelo y chocolate5 unidades,00118953906577____6__600x600.jpg,"['mantequilla', 'nata', 'almendras', 'soja', 'huevo', 'leche']"
Congelados,"Helados, postres y nata",mini bombón helado de chocolate con almendras y vainilla y caramelo 5 unidades,00118953906569____6__600x600.jpg,"['mantequilla', 'nata', 'soja', 'huevo', 'leche']"
Congelados,"Helados, postres y nata",mini bombón helado de caramelo salado 3 unidades y nuez de macadamia 2 unidades,00118953907138____6__600x600.jpg,"['polvo', 'mantequilla', 'nata', 'soja', 'nueces de macadamia', 'huevo', 'leche']"
Congelados,"Helados, postres y nata",minibombón almendrado de helado de vainilla sin azúcares añadidos 6 unidades,00118953904150____3__600x600.jpg,"['lácteos', 'Leche', 'frutos secos', 'almendras', 'soja', 'gluten']"
Congelados,"Helados, postres y nata",bombón helado de vainilla con chocolate almendrado sin gluten 3 unidades,00118953903806____1__600x600.jpg,"['Leche', 'láctea', 'frutos secos', 'almendras', 'soja', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de vainilla con chocolate almendrado relleno de cacao sin gluten 4 unidades,00118953905553____3__600x600.jpg,"['almendra', 'Leche', 'mantequilla', 'frutos secos', 'leche']"
Congelados,"Helados, postres y nata",minibombón helado de vainilla con chocolate almendrado sin gluten 6 unidades + 2 gratis,00118953906635____1__600x600.jpg,"['Leche', 'láctea', 'frutos secos', 'almendras', 'soja', 'leche']"
Congelados,"Helados, postres y nata",bombón helado de nata y trozos de galleta Oreo 4 unidades,00118953905538____2__600x600.jpg,"['Leche', 'soja', 'cacahuete', 'huevo', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Movie Time 3 mini Magnum y 3 mini Cornetto clásicos,00118953907344____1__600x600.jpg,"['Leche', 'mantequilla', 'nata', 'soja', 'huevo', 'avellana', 'cacahuetes', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",bombón helado con cobertura crujiente sabor Toblerone 4 unidades,00118953905835____3__600x600.jpg,"['Leche', 'mantequilla', 'lactosa', 'almendras', 'soja', 'cacahuete', 'huevo', 'gluten', 'lácteo', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",bombón almendrado relleno de vainilla y caramelo,00118953906817____6__600x600.jpg,"['mantequilla', 'almendras', 'soja', 'huevo', 'cacahuetes', 'gluten', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",bombon helado con crujiente chocolate 4 unidades,00118953906288____3__600x600.jpg,"['avena', 'avellanas', 'nata', 'soja', 'cacahuete', 'huevo', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",bombones chocolate y vainilla 4 unidades,00118953905520____2__600x600.jpg,"['soja', 'cacahuete', 'huevo', 'gluten', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",mini bombon helado de chocolate y vainilla 3 unidades y con avellanas 3 unidades,0118953905546000g01011.jpg,"['avellanas', 'frutos secos', 'soja', 'cacahuete', 'huevo', 'gluten', 'leche']"
Congelados,"Helados, postres y nata",Classico conos de helado de nata 6 unidades,00118953907286____1__600x600.jpg,"['Leche', 'avellanas', 'mantequilla', 'nata', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",conos de helado de chocolate 6 unidades,00118953907294____1__600x600.jpg,"['Leche', 'mantequilla', 'nata', 'soja', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",VAINILLA 6 CORNETTO,00118953907278____1__600x600.jpg,"['Leche', 'mantequilla', 'nata', 'soja', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Disc Mini conos de helado con cobertura de galleta sabor cacao y avellanas,00118953907310____1__600x600.jpg,"['Leche', 'avellanas', 'mantequilla', 'soja', 'huevo', 'cacahuetes', 'avellana', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",mini surtido de conos de helado varios sabores 6 unidades,00118953905363____2__600x600.jpg,"['Leche', 'mantequilla', 'frutos secos', 'nata', 'soja', 'huevo', 'avellana', 'cacahuetes', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",mini conos de helado classico 6 unidades,00118953905389____2__600x600.jpg,"['Puede contener soja, otros frutos secos y cacahuetes.', 'Leche', 'mantequilla', 'nata', 'huevo', 'avellana', 'leche', 'trigo']"
